T0 min	T0.5 min	T1 min	T2 min	T5 min	T10 min	FDR	Proteins
0	1.557193995	1.971577644	2.469845057	1.808996916	1.438930511	3.42283993	A0A1I9LR29;F4J9Z9;A0A178V7N9
0	1.693635225	2.108018875	2.606286287	1.945438147	1.575371742	3.270160686	A0A1I9LR29;F4J9Z9;A0A178V7N9
0	-0.870428562	0.148057699	0.098138809	0.659656048	0.89841485	1.71601366	A0A178VD67;Q9SD02
0	0.58650589	0.278281927	-0.446664572	-0.032456815	2.198987007	1.337310996	A0A178VD67;Q9SD02
0	0.892601013	0.17297864	0.818062782	0.670017719	0.657469034	2.640853608	A0A178VEL3;F4J8C6;F4J8C7
0	-0.777963161	-0.46418643	-0.499323368	0.155603886	-0.300390959	4.45465042	A0A178VEL3;F4J8C6;F4J8C7;A0A1P8BBN0;A0A1P8BBK5;Q84WW3;A0A1P8BBL1
0	-0.305909812	-0.188228399	-0.261150479	2.134311676	2.947085381	4.488434159	A0A2H1ZEI5;A0A178VL84
0	0.095824242	1.035774946	0.880716324	1.176956654	-0.050401449	5.582067839	F4I0J1;A0A178W3G2
0	0.39759779	0.121498346	0.418015957	-0.050349236	0.149069548	1.672941986	A0A1P8AT19;A0A1P8AT16;A0A178W7I4;F4HZB2
0	-0.16870451	-0.16089654	-0.576420784	-0.240278244	-0.297695398	1.497351935	A0A1P8ARZ0;A0A1P8AS05;A0A178W886;F4IAT3;A0A1P8ARY6;A0A1P8AS07;F4IAT2
0	0.284862518	-0.027115107	0.284189224	0.041351318	-0.078126192	2.456976854	A0A1I9LLZ2;F4J5I0
0	-0.180095196	-0.208822489	0.060233593	0.084476948	0.327149153	2.839403097	A0A1I9LLZ2;F4J5I0
0	-1.37561059	-1.501289845	-1.416939497	-2.080407619	-0.932340741	3.307315413	A0A1I9LMF2;Q93XX2
0	0.978879929	-1.04025197	0.314158916	-0.264792919	0.193966985	1.588041532	A0A1I9LMJ4;Q8GYN5
0	0.550531864	0.418731451	0.634044647	0.674210548	1.818125486	5.632999692	A0A1I9LMT6;F4J9U9;Q9LTX1
0	-0.090663433	-0.251894712	-0.28698349	-0.65877676	-0.449719191	1.342749537	A0A1I9LMZ1;Q9LII8
0	0.845808029	0.655015707	1.084340096	0.681211948	1.092053652	3.840329998	A0A1I9LN68;Q9M3B1
