Orthogroup	Athaliana_Araport11	Knitens_v1.1	Mpolymorpha_v6	Pmargaritaceum_v1	Ppatens_v3.3
OG0000000	AT1G12560, AT1G20190, AT1G26770, AT1G62980, AT1G69530, AT2G03090, AT2G28950, AT2G37640, AT2G39700, AT2G40610, AT3G29030, AT3G55500, AT4G01630, AT5G02260, AT5G05290, AT5G39270, AT5G39280, AT5G39290, AT5G39300, AT5G39310, AT5G56320	kfl00080_0150, kfl00219_0300, kfl00557_g9, kfl00857_0040	Mp1g14140, Mp1g22700, Mp1g22730, Mp1g24230, Mp1g26350, Mp1g26880, Mp1g28890, Mp2g18600, Mp2g18610, Mp3g03880, Mp3g03890, Mp3g03930, Mp3g03970, Mp3g06900, Mp3g09650, Mp3g09760, Mp3g09770, Mp3g10120, Mp3g10130, Mp3g10160, Mp3g22690, Mp3g24450, Mp3g24470, Mp4g06560, Mp4g22180, Mp5g01930, Mp5g20420, Mp5g20430, Mp8g18860	pm000382g0010, pm000946g0040, pm002235g0030, pm002397g0040, pm003339g0010, pm003635g0040, pm004242g0020, pm006334g0010, pm007784g0010, pm010487g0020, pm013230g0010, pm013230g0020, pm014133g0020, pm015051g0020, pm016276g0010, pm019624g0010, pm028202g0010, pm031299g0010, pm032033g0010, pm034594g0010, pm049922g0010, pm065677g0010, pm127998g0010, pm217567g0010	Pp3c11_12000, Pp3c12_4560, Pp3c13_20360, Pp3c13_8440, Pp3c14_18030, Pp3c14_18040, Pp3c14_18440, Pp3c14_18450, Pp3c14_18510, Pp3c14_18590, Pp3c18_19660, Pp3c18_19690, Pp3c18_19720, Pp3c20_5780, Pp3c21_1850, Pp3c21_1890, Pp3c21_1940, Pp3c22_3550, Pp3c22_760, Pp3c24_15400, Pp3c3_16280, Pp3c3_37280, Pp3c7_12810, Pp3c7_12870, Pp3c7_12940, Pp3c8_1320, Pp3c8_1330, Pp3c8_13450, Pp3c8_13470, Pp3c8_14900, Pp3c8_15200
OG0000001	AT1G05240, AT1G05250, AT1G05260, AT1G14550, AT1G44970, AT1G49570, AT1G71695, AT2G18140, AT2G18150, AT2G22420, AT2G35380, AT2G38380, AT2G38390, AT3G01190, AT3G17070, AT3G21770, AT3G32980, AT3G49110, AT3G49120, AT3G50990, AT4G08770, AT4G08780, AT4G11290, AT4G16270, AT4G17690, AT4G36430, AT5G05340, AT5G06720, AT5G06730, AT5G14130, AT5G15180, AT5G19880, AT5G19890, AT5G40150, AT5G42180, AT5G47000, AT5G51890, AT5G58390, AT5G58400, AT5G64120, AT5G66390	kfl00122_0210	Mp3g06650, Mp3g12230, Mp3g12240, Mp3g15330, Mp3g15780, Mp3g15790, Mp3g15800, Mp3g15810, Mp3g16820, Mp3g18410, Mp3g18420, Mp3g22700, Mp4g14580, Mp4g16740, Mp5g02520, Mp5g03300, Mp5g06870, Mp5g06880, Mp5g07230, Mp5g07700, Mp5g07820, Mp5g07830, Mp5g07850, Mp5g10690, Mp5g10730, Mp5g10740, Mp5g12110, Mp5g12120, Mp5g13640, Mp5g13650, Mp5g13710, Mp5g13780, Mp5g13790, Mp5g13800, Mp5g13810, Mp5g13820, Mp5g13830, Mp5g13840, Mp5g17450, Mp5g17460, Mp5g17470, Mp5g17480, Mp5g17490, Mp5g17500, Mp7g02680, Mp7g07630, Mp7g09310, Mp7g14900, Mp7g14950, Mp7g15000, Mp7g15010, Mp7g19370, Mp7g19380, Mp7g19390, Mp8g00260, Mp8g01720, Mp8g07500	pm000119g0070, pm000119g0080, pm000490g0040, pm000536g0010, pm000896g0030, pm001183g0010, pm001623g0050, pm001623g0060, pm001744g0020, pm001893g0050, pm001979g0050, pm003122g0010, pm003122g0020, pm003122g0030, pm003205g0010, pm003205g0020, pm003723g0030, pm004404g0020, pm004404g0030, pm005353g0020, pm010535g0010, pm011240g0010, pm012668g0010, pm014439g0010, pm015471g0020, pm018053g0020, pm019416g0010, pm019559g0010, pm019692g0010, pm020891g0030, pm021459g0010, pm022926g0010, pm022926g0020, pm096469g0010, pm169853g0010, pm176382g0010, pm310084g0010	Pp3c13_1880, Pp3c3_1110, Pp3c3_30190, Pp3c3_34620, Pp3c4_20640, Pp3c8_8070
OG0000002	AT4G23160, ATMG00240, ATMG00810	kfl00042_0010, kfl00157_0010, kfl00187_0020, kfl00198_0030, kfl00382_0010, kfl00434_0110, kfl00434_0120, kfl00445_0130, kfl00566_0010, kfl00570_0080, kfl00687_0010, kfl00763_0020, kfl00934_0020, kfl00961_0015, kfl00961_0030, kfl00980_0030, kfl00994_0030, kfl01002_0010, kfl01011_0020, kfl01011_0030, kfl01014_0020, kfl01029_0020, kfl01042_0030, kfl01070_0040, kfl01090_0010, kfl01090_0020, kfl01090_0030, kfl01111_0020, kfl01122_0020, kfl01122_0025, kfl01153_0030, kfl01198_0020, kfl01236_0010, kfl01236_0020, kfl01255_0020, kfl01261_0010, kfl01299_0020, kfl01327_0010, kfl01329_0010, kfl01355_0010, kfl01359_0010, kfl01360_0010, kfl01360_0020, kfl01379_0010, kfl01387_0020, kfl01464_0010, kfl01465_0010, kfl01465_0020, kfl01510_0010, kfl01518_0010, kfl01530_0015, kfl01536_0015, kfl01536_0020, kfl01560_g1, kfl01570_0010, kfl01601_g1, kfl01633_0010, kfl01633_0020, kfl01637_0010, kfl01649_0010, kfl01651_0020, kfl01677_0010, kfl01698_0020, kfl01710_0010, kfl01730_0010, kfl01746_0010, kfl01795_g1	Mp1g06970, Mp2g26190, Mp4g23830, Mp4g23840, Mp8g00200, MpVg00320	pm000798g0010, pm001980g0030, pm002921g0100, pm003244g0040, pm004096g0050, pm004206g0020, pm008823g0020, pm011871g0030	Pp3c11_12670, Pp3c12_12830, Pp3c14_19920, Pp3c18_3680, Pp3c19_10880, Pp3c1_13760, Pp3c1_34910, Pp3c21_14170, Pp3c23_1320, Pp3c23_17680, Pp3c2_13360, Pp3c2_8510, Pp3c5_21060, Pp3c6_17090, Pp3c7_15950
OG0000004	AT1G29910, AT1G29920, AT1G29930, AT2G05070, AT2G05100, AT2G34420, AT2G34430, AT3G27690, AT5G54270	kfl00098_0080, kfl00098_0090, kfl00120_0160, kfl00809_0010, kfl01434_0010	Mp1g29620, Mp2g13460, Mp7g05530, Mp7g05880, Mp7g05890, Mp7g05980, Mp7g06710, Mp7g06720, Mp7g06730, Mp7g06740, Mp7g06750, Mp7g06760, Mp7g06770, Mp7g06780, Mp7g06790, Mp7g08940, Mp7g09180, Mp7g09340	pm000094g0050, pm000094g0080, pm000102g0200, pm000305g0010, pm000397g0050, pm000397g0060, pm001136g0090, pm001368g0010, pm002104g0030, pm002276g0040, pm002279g0010, pm002279g0020, pm002279g0030, pm002279g0060, pm002875g0030, pm003106g0010, pm003106g0050, pm003573g0040, pm004099g0020, pm004429g0020, pm004654g0020, pm005068g0050, pm005777g0010, pm008857g0010, pm008857g0050, pm009743g0040, pm009761g0010, pm010245g0030, pm012890g0020, pm012890g0030, pm014987g0010, pm016154g0010, pm016607g0020, pm018561g0010, pm019078g0020, pm019150g0030, pm019514g0010, pm019579g0010, pm020029g0010, pm021545g0020, pm025632g0010, pm027532g0020, pm027623g0010, pm028191g0010, pm030646g0010, pm035706g0010, pm039816g0010, pm053055g0010, pm071223g0010, pm157519g0010	Pp3c10_3020, Pp3c13_5930, Pp3c13_7900, Pp3c18_8100, Pp3c19_20900, Pp3c21_3950, Pp3c22_5610, Pp3c26_6740, Pp3c2_35930, Pp3c2_36190, Pp3c2_36220, Pp3c2_36380, Pp3c2_36480, Pp3c2_36500, Pp3c2_36570, Pp3c3_4100, Pp3c3_4140, Pp3c4_17240, Pp3c5_7110, Pp3c5_7150, Pp3c5_7180, Pp3c6_12510
OG0000005	AT1G15210, AT1G15520, AT1G59870, AT1G66950, AT2G26910, AT2G29940, AT2G36380, AT2G37280, AT3G16340, AT3G30842, AT3G53480, AT4G15215, AT4G152150, AT4G152151, AT4G15230, AT4G15233, AT4G15236	kfl00010_0550, kfl00018_0500, kfl00056_0220, kfl00175_0190, kfl00361_0030, kfl00616_0050, kfl00855_0010	Mp1g24380, Mp1g25350, Mp2g03890, Mp2g07030, Mp2g14210, Mp2g21340, Mp2g21800, Mp4g05490, Mp4g06670, Mp8g09300, Mp8g13070	pm000515g0030, pm004353g0010, pm014738g0010	Pp3c14_11830, Pp3c16_13830, Pp3c16_13851, Pp3c16_9600, Pp3c18_12400, Pp3c19_18700, Pp3c1_25070, Pp3c22_9340, Pp3c2_34070, Pp3c4_2380, Pp3c5_23360, Pp3c5_3240, Pp3c5_3340, Pp3c6_6330
OG0000006	AT1G05310, AT1G11370, AT1G53830, AT1G69940, AT2G21610, AT2G36700, AT2G36710, AT2G45220, AT3G05610, AT3G06830, AT3G14310, AT3G17060, AT3G29090, AT3G43270, AT4G00190, AT4G33220, AT5G07410, AT5G07420, AT5G07430, AT5G09760, AT5G19730, AT5G27870, AT5G49180, AT5G55590, AT5G61680, AT5G64640	kfl00053_0010	Mp1g00190, Mp1g17560, Mp2g01420, Mp2g19430, Mp3g01170, Mp4g01190, Mp6g15150, Mp8g00060, Mp8g09330	pm000035g0080, pm000752g0020, pm001495g0060, pm001557g0010, pm001781g0010, pm003111g0030, pm004154g0030, pm006922g0030, pm007551g0020, pm010719g0020, pm013173g0010, pm022684g0010, pm024419g0020, pm025555g0010, pm027353g0020, pm033507g0010, pm087237g0010, pm115344g0010, pm135623g0010, pm148513g0010	Pp3c10_19460, Pp3c12_24000, Pp3c17_6440, Pp3c19_8330, Pp3c1_6010, Pp3c21_11740, Pp3c25_15080, Pp3c25_3840, Pp3c25_760, Pp3c2_35260, Pp3c3_30560, Pp3c3_35217, Pp3c4_10640, Pp3c5_12770, Pp3c5_23400
OG0000007	AT1G14430, AT1G19900, AT1G67290, AT1G75620, AT3G53950, AT3G57620, AT5G19580	kfl00003_0400, kfl00003_0420, kfl00021_0310, kfl00023_0155, kfl00301_0090	Mp3g19610, Mp4g17900, Mp5g13680, Mp5g17340, Mp7g12570, Mp8g04560, Mp8g06750	pm004552g0010, pm004922g0020, pm006583g0030, pm009460g0010, pm009460g0020, pm011157g0010, pm011157g0020, pm011157g0060, pm017575g0010, pm021496g0010, pm025557g0020, pm027051g0010, pm031451g0010, pm043178g0010, pm163347g0010, pm317293g0010	Pp3c10_8570, Pp3c12_15000, Pp3c13_7000, Pp3c14_12940, Pp3c14_12990, Pp3c15_16510, Pp3c16_1160, Pp3c17_16620, Pp3c19_17290, Pp3c1_19060, Pp3c1_28460, Pp3c21_2480, Pp3c21_3640, Pp3c22_8310, Pp3c26_2270, Pp3c26_8190, Pp3c2_11730, Pp3c2_15200, Pp3c2_25820, Pp3c2_25840, Pp3c3_1540, Pp3c3_27340, Pp3c3_510, Pp3c4_10820, Pp3c4_7540, Pp3c6_26670, Pp3c9_16780, Pp3c9_167800
OG0000008	AT1G15150, AT1G15160, AT1G15170, AT1G15180, AT1G58340, AT1G66760, AT1G66780, AT1G71140, AT1G71870, AT1G73700, AT2G04040, AT2G04050, AT2G04070, AT2G04080, AT2G04090, AT2G04100, AT2G34360, AT2G38510, AT4G22790, AT4G23030, AT4G29140, AT5G19700, AT5G49130, AT5G52050, AT5G52450	kfl00011_0410, kfl00021_0050, kfl00084_0100, kfl00174_0160, kfl00174_0220, kfl00232_0040, kfl00258_0100, kfl00471_0030, kfl00481_0080, kfl00481_0100, kfl00545_0030	Mp1g11450, Mp1g16390, Mp1g28440, Mp2g22500, Mp3g04300, Mp3g05110, Mp4g18440, Mp4g18470, Mp6g02120, Mp6g11640, Mp6g21080, Mp7g12320	pm000425g0100, pm000425g0110, pm002651g0040, pm011724g0010, pm025960g0010	Pp3c10_10570, Pp3c10_15660, Pp3c14_17840, Pp3c14_23000, Pp3c17_22040, Pp3c1_37590, Pp3c2_12080, Pp3c4_16610, Pp3c5_21630, Pp3c6_11630
OG0000009	AT1G35670, AT1G50700, AT1G61950, AT1G76040, AT2G17290, AT2G38910, AT3G10660, AT3G20410, AT4G04720, AT4G04740, AT4G09570, AT4G21940, AT4G23650, AT4G35310, AT4G38230, AT5G04870, AT5G12180, AT5G19360, AT5G23580	kfl00036_0390, kfl00445_0090, kfl00573_0060	Mp3g02440, Mp3g14560, Mp3g22080, Mp4g13490	pm000148g0020, pm000983g0020, pm001140g0110, pm001140g0130, pm002297g0050, pm003007g0070, pm007065g0040, pm007465g0040, pm013106g0010, pm014588g0020, pm019242g0030, pm025803g0010, pm032870g0010, pm037548g0010, pm039496g0010, pm155246g0010	Pp3c11_25550, Pp3c12_190, Pp3c12_21850, Pp3c12_21880, Pp3c17_2480, Pp3c20_12010, Pp3c20_4100, Pp3c20_4170, Pp3c23_18880, Pp3c23_18930, Pp3c3_37890, Pp3c4_7390, Pp3c6_50, Pp3c8_690, Pp3c9_21410
OG0000011	AT1G02520, AT1G02530, AT1G10680, AT1G27940, AT1G28010, AT2G36910, AT2G47000, AT3G28345, AT3G28360, AT3G28380, AT3G28390, AT3G28415, AT3G28860, AT3G62150, AT4G01820, AT4G01830, AT4G18050, AT4G25960, AT5G46540	kfl00008_0360, kfl00023_0200, kfl00047_0060, kfl00461_0020	Mp1g26440, Mp2g02910, Mp2g02920, Mp2g21430, Mp3g11830, Mp4g07450, Mp5g17400, Mp7g04390, Mp7g16060	pm000860g0020, pm001285g0010, pm003385g0020, pm020662g0010, pm301776g0010	Pp3c12_11230, Pp3c12_112300, Pp3c12_112301, Pp3c12_112302, Pp3c14_2470, Pp3c17_16450, Pp3c1_31680, Pp3c1_34680, Pp3c1_7210, Pp3c1_7215, Pp3c3_5680, Pp3c4_5170, Pp3c6_7260
